method,round,labels,avg_acc,acc_tuple,top_k
passive_random,74,936,0.7775616083009079,"[0.77431906614786, 0.7801556420233463, 0.7782101167315175]",2
passive_random,75,946,0.7827496757457847,"[0.7879377431906615, 0.7684824902723736, 0.791828793774319]",2
passive_random,76,956,0.7782101167315175,"[0.7782101167315175, 0.77431906614786, 0.7821011673151751]",2
passive_random,77,966,0.7730220492866408,"[0.7723735408560312, 0.7723735408560312, 0.77431906614786]",2
passive_random,78,976,0.7814526588845655,"[0.7762645914396887, 0.7762645914396887, 0.791828793774319]",2
passive_random,79,986,0.7775616083009079,"[0.7762645914396887, 0.7782101167315175, 0.7782101167315175]",2
passive_random,80,996,0.788586251621271,"[0.7898832684824902, 0.7859922178988327, 0.7898832684824902]",2
passive_random,81,1006,0.7866407263294423,"[0.7723735408560312, 0.7801556420233463, 0.8073929961089494]",2
passive_random,82,1016,0.7905317769130998,"[0.791828793774319, 0.7782101167315175, 0.8015564202334631]",2
passive_random,83,1026,0.7846952010376135,"[0.7879377431906615, 0.7782101167315175, 0.7879377431906615]",2
passive_random,84,1036,0.7821011673151751,"[0.7898832684824902, 0.7801556420233463, 0.7762645914396887]",2
passive_random,85,1046,0.7866407263294423,"[0.7840466926070039, 0.7782101167315175, 0.7976653696498055]",2
passive_random,86,1056,0.7866407263294423,"[0.7684824902723736, 0.7937743190661478, 0.7976653696498055]",2
passive_random,87,1066,0.7898832684824902,"[0.7840466926070039, 0.7879377431906615, 0.7976653696498055]",2
passive_random,88,1076,0.7840466926070039,"[0.7704280155642024, 0.7840466926070039, 0.7976653696498055]",2
passive_random,89,1086,0.7905317769130998,"[0.7821011673151751, 0.7859922178988327, 0.8035019455252919]",2
passive_random,90,1096,0.8060959792477304,"[0.7937743190661478, 0.8015564202334631, 0.8229571984435797]",2
passive_random,91,1106,0.7944228274967574,"[0.7976653696498055, 0.7898832684824902, 0.7957198443579766]",2
passive_random,92,1116,0.7963683527885864,"[0.7996108949416343, 0.7898832684824902, 0.7996108949416343]",2
passive_random,93,1126,0.800259403372244,"[0.7996108949416343, 0.7957198443579766, 0.8054474708171206]",2
